Card Number,Storage,Card Name,Card Type,Collected,Acquire Type,Collected Date,Duplicate,RH Collected,RH Acquire Type,RH Collected Date,RH Duplicate
91,Binder,Gulpin,Common,FALSE,,,,FALSE,,,
92,Binder,Swalot,Uncommon,FALSE,,,,FALSE,,,
93,Binder,Pangoro,Uncommon,FALSE,,,,FALSE,,,
94,Binder,Impidimp,Common,TRUE,Packed,26/04/2025,,FALSE,,,
95,Binder,Morgrem,Common,FALSE,,,,FALSE,,,
96,Binder,Grimmsnarl,Rare,TRUE,Packed,26/04/2025,,FALSE,,,
97,Binder,Bombirdier,Common,FALSE,,,,FALSE,,,
98,Binder,Jirachi,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
99,Binder,Klink,Common,FALSE,,,,FALSE,,,
100,Binder,Klang,Common,FALSE,,,,FALSE,,,
101,Binder,Klinklang,Rare,FALSE,,,,FALSE,,,
102,Binder,Meltan,Common,FALSE,,,,FALSE,,,
103,Binder,Meltan,Common,FALSE,,,,FALSE,,,
104,Binder,Melmetal,Rare,FALSE,,,,FALSE,,,
105,Binder,Melmetal ex,Double Rare,FALSE,,,,-,-,-,-
106,Binder,Duraludon,Common,FALSE,,,,FALSE,,,
107,Binder,Archaludon,Rare,TRUE,Packed,26/04/2025,,TRUE,Packed,26/04/2025,
108,Binder,Varoom,Common,TRUE,Packed,26/04/2025,,FALSE,,,
109,Binder,Revavroom,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
110,Binder,Orthworm ex,Double Rare,TRUE,Packed,26/04/2025,,-,-,-,-
111,Binder,Raging Bolt,Rare,TRUE,Packed,26/04/2025,1,FALSE,,,
112,Binder,Tauros,Common,FALSE,,,,FALSE,,,
113,Binder,Eevee,Common,TRUE,Packed,26/04/2025,,TRUE,Packed,26/04/2025,
114,Binder,Hoothoot,Common,FALSE,,,,FALSE,,,
115,Binder,Noctowl,Rare,FALSE,,,,FALSE,,,
116,Binder,Glameow,Common,TRUE,Packed,26/04/2025,1,TRUE,Packed,26/04/2025,
117,Binder,Purugly,Common,FALSE,,,,FALSE,,,
118,Binder,Fan Rotom,Common,TRUE,Packed,26/04/2025,,FALSE,,,
119,Binder,Bouffalant,Rare,TRUE,Packed,26/04/2025,,FALSE,,,
120,Binder,Tornadus,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
121,Binder,Fletchling,Common,TRUE,Packed,26/04/2025,,FALSE,,,
122,Binder,Fletchinder,Common,FALSE,,,,FALSE,,,
123,Binder,Talonflame,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
124,Binder,Wooloo,Common,FALSE,,,,FALSE,,,
125,Binder,Dubwool,Uncommon,FALSE,,,,FALSE,,,
126,Binder,Lechonk,Common,TRUE,Packed,26/04/2025,,FALSE,,,
127,Binder,Cyclizar,Common,TRUE,Packed,26/04/2025,,FALSE,,,
128,Binder,Terapagos ex,Double Rare,FALSE,,,,-,-,-,-
129,Binder,Antique Cover Fossil,Common,FALSE,,,,FALSE,,,
130,Binder,Antique Root Fossil,Common,TRUE,Packed,26/04/2025,,FALSE,,,
131,Binder,Area Zero Underdepths,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
132,Binder,Briar,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
133,Binder,Crispin,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
134,Binder,Deluxe Bomb,ACE Rare,FALSE,,,,-,-,-,-
135,Binder,Glass Trumpet,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
136,Binder,Grand Tree,ACE Rare,FALSE,,,,-,-,-,-
137,Binder,Gravity Gemstone,Uncommon,FALSE,,,,FALSE,,,
138,Binder,Kofu,Uncommon,TRUE,Packed,26/04/2025,1,FALSE,,,
139,Binder,Lacey,Uncommon,TRUE,Packed,26/04/2025,,TRUE,Packed,26/04/2025,
140,Binder,Occa Berry,Uncommon,TRUE,Packed,26/04/2025,1,FALSE,,,
141,Binder,Payapa Berry,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
142,Binder,Sparkling Crystal,ACE Rare,FALSE,,,,FALSE,,,
143,Top Loader,Bulbasaur,Illustration Rare,FALSE,,,,-,-,-,-
144,Top Loader,Ledian,Illustration Rare,FALSE,,,,-,-,-,-
145,Top Loader,Lileep,Illustration Rare,FALSE,,,,-,-,-,-
146,Top Loader,Turtonator,Illustration Rare,FALSE,,,,-,-,-,-
147,Top Loader,Raboot,Illustration Rare,FALSE,,,,-,-,-,-
148,Top Loader,Squirtle,Illustration Rare,TRUE,Packed,26/04/2025,,-,-,-,-
149,Top Loader,Crabominable,Illustration Rare,FALSE,,,,-,-,-,-
150,Top Loader,Joltik,Illustration Rare,FALSE,,,,-,-,-,-
151,Top Loader,Zeraora,Illustration Rare,FALSE,,,,-,-,-,-
152,Top Loader,Milcery,Illustration Rare,FALSE,,,,-,-,-,-
153,Top Loader,Meditite,Illustration Rare,FALSE,,,,-,-,-,-
154,Top Loader,Gulpin,Illustration Rare,FALSE,,,,-,-,-,-
155,Top Loader,Archaludon,Illustration Rare,FALSE,,,,-,-,-,-
156,Top Loader,Hydrapple ex,Ultra Rare,FALSE,,,,-,-,-,-
157,Top Loader,Cinderace ex,Ultra Rare,TRUE,Traded,27/04/2025,,-,-,-,-
158,Top Loader,Lapras ex,Ultra Rare,FALSE,,,,-,-,-,-
159,Top Loader,Galvantula ex,Ultra Rare,FALSE,,,,-,-,-,-
160,Top Loader,Dachsbun ex,Ultra Rare,FALSE,,,,-,-,-,-
161,Top Loader,Medicham ex,Ultra Rare,FALSE,,,,-,-,-,-
162,Top Loader,Orthworm ex,Ultra Rare,FALSE,,,,-,-,-,-
163,Top Loader,Briar,Ultra Rare,FALSE,,,,-,-,-,-
164,Top Loader,Crispin,Ultra Rare,FALSE,,,,-,-,-,-
165,Top Loader,Kofu,Ultra Rare,FALSE,,,,-,-,-,-
166,Top Loader,Lacey,Ultra Rare,FALSE,,,,-,-,-,-
167,Top Loader,Hydrapple ex,Special Illustration Rare,FALSE,,,,-,-,-,-
168,Top Loader,Galvantula ex,Special Illustration Rare,FALSE,,,,-,-,-,-
169,Top Loader,Dachsbun ex,Special Illustration Rare,FALSE,,,,-,-,-,-
170,Top Loader,Terapagos ex,Special Illustration Rare,FALSE,,,,-,-,-,-
171,Top Loader,Briar,Special Illustration Rare,FALSE,,,,-,-,-,-
172,Top Loader,Lacey,Special Illustration Rare,FALSE,,,,-,-,-,-
173,Top Loader,Terapagos ex,Hyper Rare,FALSE,,,,-,-,-,-
174,Top Loader,Area Zero Underdepths,Hyper Rare,FALSE,,,,-,-,-,-
175,Top Loader,Bravery Charm,Hyper Rare,FALSE,,,,-,-,-,-
